,location,bhk,total_sqft,bath,price,encoded_loc
195,others,3,4050.0,3.0,280.0,230
196,OMBR Layout,3,2420.0,3.0,185.0,175
197,others,2,1060.0,2.0,55.0,230
198,7th Phase JP Nagar,2,1270.0,2.0,93.0,6
199,others,2,1280.0,2.0,69.0,230
200,Horamavu Agara,4,1200.0,2.0,95.0,98
201,Sarjapur  Road,2,1025.0,2.0,36.0,194
202,Electronic City,2,1108.0,2.0,63.0,74
203,others,3,3045.0,3.0,170.0,230
204,Vijayanagar,3,1500.0,3.0,75.5,220
205,Raja Rajeshwari Nagar,2,1295.0,2.0,43.9,184
206,Budigere,2,1162.0,2.0,59.9,52
207,Sarjapur  Road,2,1035.0,2.0,49.2,194
208,Attibele,4,1600.0,4.0,52.8,21
209,others,3,1464.0,3.0,46.0,230
210,Hennur Road,3,1866.0,2.0,61.58,96
211,others,2,700.0,1.0,26.0,230
212,Kalena Agrahara,3,1804.0,3.0,120.0,121
213,Sarjapur,2,913.0,2.0,32.0,193
214,Talaghattapura,3,1868.0,3.0,131.0,208
215,Kengeri Satellite Town,2,883.0,2.0,45.0,136
216,Kogilu,3,1664.0,2.0,73.95,142
217,Hegde Nagar,3,2026.0,3.0,132.0,94
218,Balagere,2,1210.0,2.0,80.9,25
219,others,4,4111.0,4.0,250.0,230
220,Kadugodi,3,1762.0,3.0,91.45,117
221,Jigani,3,1252.0,3.0,55.0,113
222,Gollarapalya Hosahalli,2,861.0,2.0,34.5,81
223,7th Phase JP Nagar,3,1420.0,2.0,100.0,6
224,Electronics City Phase 1,3,1490.0,3.0,78.8,76
225,Bisuvanahalli,3,1075.0,2.0,46.0,46
226,Old Madras Road,3,1425.0,2.0,94.0,177
227,Kalena Agrahara,2,1200.0,2.0,40.0,121
228,Kaggadasapura,3,1280.0,2.0,56.0,118
229,others,2,1084.0,2.0,50.0,230
230,Kanakpura Road,2,1017.0,2.0,51.25,127
231,Haralur Road,2,1027.0,2.0,44.0,90
232,Electronic City Phase II,2,1069.0,2.0,45.0,75
233,Hebbal,2,1349.0,2.0,98.2,92
234,9th Phase JP Nagar,2,1005.0,2.0,50.0,8
235,Jakkur,2,1417.0,2.0,75.0,110
236,TC Palaya,3,1475.0,3.0,98.0,207
237,others,2,950.0,2.0,47.0,230
238,others,4,2000.0,4.0,120.0,230
239,Sarjapur  Road,4,1863.0,3.0,104.0,194
240,Singasandra,2,1010.0,2.0,29.5,201
241,Kalena Agrahara,3,1425.0,2.0,70.0,121
242,Vijayanagar,3,1450.0,3.0,100.0,220
243,Kothanur,3,1847.0,3.0,105.0,146
244,AECS Layout,2,1100.0,2.0,45.0,9
245,Kanakpura Road,1,525.0,1.0,26.0,127
246,Mallasandra,3,1665.0,3.0,95.0,158
247,Begur,4,1664.0,4.0,65.0,38
248,JP Nagar,3,1850.0,3.0,150.0,109
249,Panathur,2,1438.0,2.0,100.0,180
250,others,3,1560.0,3.0,115.0,230
251,Yelahanka,2,1350.0,2.0,55.55,226
252,Kanakpura Road,3,1550.0,3.0,67.0,127
253,Malleshpalya,2,1140.0,2.0,46.5,159
254,others,2,850.0,2.0,27.0,230
255,Whitefield,2,1280.0,2.0,75.0,224
256,Munnekollal,2,1170.0,2.0,52.0,164
257,others,2,1113.0,2.0,51.0,230
258,Hennur Road,2,1385.0,2.0,83.09,96
259,Electronic City,2,1128.0,2.0,65.0,74
260,Haralur Road,3,1464.0,3.0,56.0,90
261,others,2,1200.0,2.0,55.0,230
262,Kaval Byrasandra,2,1200.0,2.0,52.0,133
263,Kaggalipura,3,1150.0,2.0,55.0,119
264,others,3,1645.0,3.0,95.0,230
265,Sarjapur  Road,2,1000.0,2.0,67.0,194
266,Haralur Road,4,2650.0,4.0,198.0,90
267,6th Phase JP Nagar,2,1192.0,2.0,74.0,5
268,Whitefield,2,1173.0,2.0,58.0,224
269,Uttarahalli,2,1020.0,2.0,45.0,216
270,Somasundara Palya,3,1600.0,3.0,64.0,202
271,others,2,1200.0,2.0,79.0,230
272,others,2,1230.0,2.0,48.0,230
273,Devarachikkanahalli,2,1250.0,2.0,40.0,66
274,Kalena Agrahara,2,1325.0,2.0,76.0,121
275,7th Phase JP Nagar,3,1850.0,3.0,150.0,6
276,Kanakpura Road,1,525.0,2.0,21.53,127
277,Basaveshwara Nagar,2,1200.0,2.0,65.0,36
278,Bommasandra,3,1260.0,3.0,49.36,48
279,Ardendale,2,1100.0,2.0,43.25,19
280,Harlur,2,1508.0,2.0,77.0,91
281,others,3,1592.0,3.0,75.0,230
282,Akshaya Nagar,2,1388.0,2.0,57.0,11
283,Electronic City Phase II,1,630.0,1.0,28.35,75
284,others,3,1762.0,3.0,125.0,230
285,others,2,950.0,2.0,50.0,230
286,Magadi Road,2,1116.0,2.0,50.0,155
287,others,2,1308.0,2.0,89.04,230
288,others,3,1200.0,3.0,90.0,230
289,Bannerghatta Road,1,500.0,1.0,18.5,34
290,Hennur,2,1075.0,2.0,52.0,95
291,Bellandur,2,1205.0,2.0,66.0,40
292,5th Phase JP Nagar,2,1075.0,2.0,60.0,4
293,KR Puram,2,930.0,2.0,39.0,115
294,Balagere,2,1380.0,2.0,60.0,25
295,Kodigehaali,2,1166.0,2.0,55.0,139
296,Bannerghatta Road,2,1050.0,2.0,65.0,34
297,Begur Road,2,1200.0,2.0,46.8,39
298,Lakshminarayana Pura,3,1600.0,2.0,108.0,153
299,Billekahalli,3,1935.0,3.0,110.0,44
300,8th Phase JP Nagar,1,451.0,1.0,29.9,7
301,Electronic City,3,1800.0,3.0,95.0,74
302,Jalahalli,3,1400.0,3.0,77.0,111
303,Hegde Nagar,3,1801.0,3.0,115.0,94
304,Mahadevpura,2,1451.0,2.0,90.0,156
305,Anekal,2,1200.0,1.0,36.0,17
306,Begur Road,2,1160.0,2.0,44.0,39
307,Kanakpura Road,2,950.0,2.0,40.0,127
308,others,3,1629.0,3.0,79.0,230
309,Vijayanagar,3,1826.0,3.0,121.0,220
310,7th Phase JP Nagar,2,1245.0,2.0,94.0,6
311,Raja Rajeshwari Nagar,2,1145.0,2.0,45.79,184
312,Sompura,2,825.0,2.0,33.0,203
313,Yeshwanthpur,3,1693.0,3.0,108.0,229
314,Electronics City Phase 1,2,1113.27,2.0,53.0,76
315,others,2,1460.0,2.0,58.0,230
316,Doddathoguru,2,1050.0,2.0,32.0,70
317,Dodda Nekkundi,2,1260.0,2.0,55.0,67
318,Hosur Road,2,1656.0,2.0,120.0,104
319,Chandapura,3,1208.0,3.0,45.0,55
320,Whitefield,4,3252.0,4.0,230.0,224
321,Battarahalli,2,1200.0,2.0,65.0,37
322,7th Phase JP Nagar,2,1175.0,2.0,82.0,6
323,others,2,1185.0,2.0,38.0,230
324,Kengeri,2,750.0,2.0,38.0,135
325,Kanakpura Road,3,1550.0,3.0,64.5,127
326,others,3,1760.0,3.0,88.0,230
327,Billekahalli,2,1125.0,2.0,62.0,44
328,Anandapura,2,1000.0,2.0,55.0,15
329,TC Palaya,2,1200.0,2.0,60.0,207
330,Budigere,3,1991.0,4.0,103.0,52
331,Ambalipura,2,1105.0,2.0,75.0,12
332,Hoodi,2,985.0,2.0,67.0,97
333,Balagere,3,1590.0,3.0,79.0,25
334,CV Raman Nagar,2,1120.0,2.0,55.0,53
335,others,2,1069.0,2.0,55.0,230
336,Marathahalli,3,1933.0,3.0,140.0,161
337,Hosur Road,2,1194.0,2.0,69.0,104
338,Brookefield,2,1150.0,2.0,69.0,51
339,Yelenahalli,2,1240.0,2.0,47.12,228
340,Raja Rajeshwari Nagar,2,1419.0,2.0,48.1,184
341,others,3,1450.0,3.0,55.0,230
342,others,3,1630.0,3.0,68.29,230
343,Dasanapura,2,708.0,1.0,40.0,63
344,Whitefield,4,11890.0,4.0,700.0,224
345,Bellandur,2,1250.0,2.0,76.0,40
346,7th Phase JP Nagar,3,1400.0,2.0,95.0,6
347,Sarjapur  Road,3,1670.0,2.0,57.0,194
348,Ardendale,3,1750.0,3.0,100.0,19
349,Vittasandra,2,1404.0,2.0,71.0,223
350,Hoodi,3,1715.0,2.0,95.0,97
351,Electronic City,1,630.0,1.0,34.65,74
352,Harlur,3,1752.12,3.0,135.0,91
353,Hulimavu,3,1650.0,3.0,78.0,105
354,Raja Rajeshwari Nagar,2,1295.0,2.0,55.47,184
355,Sarjapur  Road,2,1346.0,2.0,74.03,194
356,Hormavu,2,1150.0,2.0,55.0,100
357,AECS Layout,3,1620.0,3.0,98.0,9
358,Marathahalli,2,950.0,2.0,46.96,161
359,Harlur,3,2450.0,3.0,120.0,91
360,others,2,850.0,2.0,30.0,230
361,Padmanabhanagar,2,1020.0,2.0,63.0,178
362,Chikkalasandra,2,1100.0,2.0,50.0,59
363,Hebbal,3,1760.0,2.0,130.0,92
364,Ambalipura,3,1800.0,3.0,110.0,12
365,Akshaya Nagar,2,1070.0,2.0,54.0,11
366,Vidyaranyapura,2,1440.0,2.0,95.0,219
367,Amruthahalli,2,900.0,2.0,40.0,14
368,Whitefield,2,1130.0,2.0,42.16,224
369,Kodigehalli,2,1270.0,2.0,98.0,140
370,others,2,1200.0,2.0,62.0,230
371,others,4,4800.0,4.0,235.0,230
372,others,2,1200.0,2.0,74.0,230
373,Subramanyapura,2,929.0,2.0,50.17,205
374,others,3,1464.0,3.0,56.0,230
375,others,4,2000.0,4.0,99.0,230
376,Chikkalasandra,2,1208.0,2.0,49.0,59
377,Hebbal Kempapura,2,1130.0,2.0,60.0,93
378,others,3,1753.0,3.0,120.0,230
379,Hoodi,2,1196.0,2.0,94.42,97
380,5th Phase JP Nagar,2,1150.0,3.0,52.5,4
381,Electronic City,2,1128.0,2.0,63.0,74
382,others,2,1000.0,2.0,53.0,230
383,Yelahanka,2,1035.0,2.0,45.0,226
384,Kereguddadahalli,2,950.0,2.0,32.0,137
385,Bisuvanahalli,3,1075.0,2.0,36.0,46
386,Whitefield,2,1040.0,2.0,48.5,224
387,others,2,720.0,2.0,45.0,230
388,Lingadheeranahalli,3,1511.0,3.0,95.0,154
389,others,3,1300.0,3.0,58.0,230
390,Hoodi,3,1545.0,3.0,68.75,97
391,Shampura,1,375.0,2.0,26.0,199
392,Vidyaranyapura,2,1062.0,2.0,38.0,219
393,others,2,1115.0,2.0,40.0,230
394,JP Nagar,2,1000.0,2.0,35.0,109
395,Kambipura,2,883.0,2.0,45.0,123
396,Sarjapur  Road,2,1195.0,2.0,70.0,194
397,others,1,700.0,1.0,41.0,230
398,Vittasandra,2,1246.0,2.0,67.0,223
399,others,4,1600.0,4.0,80.0,230
400,Haralur Road,4,2805.0,5.0,154.0,90
401,Begur Road,3,1584.0,3.0,65.0,39
402,Hosur Road,3,1175.0,2.0,48.0,104
403,others,3,1595.0,3.0,115.0,230
404,others,2,1353.0,2.0,110.0,230
405,Electronic City,3,1599.0,3.0,125.0,74
406,Whitefield,2,1150.0,2.0,70.0,224
407,KR Puram,2,1155.0,2.0,42.74,115
408,others,1,1200.0,2.0,85.0,230
409,Thanisandra,4,3000.0,4.0,120.0,209
410,Ramagondanahalli,2,1251.0,2.0,47.0,187
411,others,2,1028.0,2.0,45.5,230
412,Arekere,2,1222.0,2.0,45.0,20
413,Bannerghatta Road,3,1170.0,2.0,66.0,34
414,others,3,1385.0,2.0,48.48,230
415,HSR Layout,2,1372.0,2.0,68.0,89
416,Magadi Road,3,1282.0,2.0,49.0,155
417,Kanakpura Road,2,1135.0,2.0,39.73,127
418,Whitefield,3,1768.0,3.0,101.0,224
419,others,3,1325.0,2.0,90.0,230
420,Electronic City,3,1599.0,3.0,99.0,74
421,Whitefield,3,1500.0,3.0,61.95,224
422,Uttarahalli,2,1286.0,2.0,63.0,216
423,Kammanahalli,5,2845.0,5.0,140.0,124
424,others,3,1600.0,2.0,50.0,230
425,Hennur Road,2,1317.5,2.0,63.77,96
426,Munnekollal,2,1102.0,2.0,53.67,164
427,Yelahanka,2,1350.0,2.0,54.0,226
428,Banashankari,3,1200.0,2.0,42.0,26
429,others,2,1800.0,1.0,80.0,230
430,Chikkabanavar,2,950.0,2.0,40.0,58
431,Kanakpura Road,1,525.0,1.0,27.25,127
432,Attibele,2,656.0,2.0,25.0,21
433,others,2,1056.0,2.0,80.0,230
434,Bannerghatta Road,1,595.0,1.0,33.32,34
435,others,2,1080.0,2.0,50.0,230
436,7th Phase JP Nagar,3,2225.0,3.0,160.0,6
437,Electronics City Phase 1,3,1490.0,3.0,84.0,76
438,Sarjapur  Road,3,1550.0,3.0,100.0,194
439,Sarjapur  Road,3,1600.0,3.0,86.0,194
440,others,2,1160.0,2.0,55.0,230
441,Whitefield,4,4144.0,4.0,315.0,224
442,Sarjapur  Road,3,2100.0,3.0,125.0,194
443,Vittasandra,2,1404.0,2.0,69.3,223
444,others,3,1544.0,3.0,120.0,230
445,Banashankari Stage III,3,1305.0,2.0,58.7,28
446,Marathahalli,2,1230.0,2.0,80.0,161
447,others,2,1200.0,2.0,65.0,230
448,Harlur,3,1460.0,3.0,73.0,91
449,Gottigere,2,967.0,2.0,45.0,82
450,others,1,540.0,1.0,36.0,230
451,Hormavu,1,715.0,1.0,46.0,100
452,Mysore Road,2,1020.0,2.0,48.95,166
453,Jigani,2,1020.0,2.0,40.0,113
454,Koramangala,2,1253.0,2.0,102.0,144
455,others,2,1180.0,2.0,42.0,230
456,Nehru Nagar,2,961.0,2.0,38.0,174
457,Kanakapura,3,1419.0,3.0,75.0,126
458,others,2,1600.0,2.0,115.0,230
459,others,1,416.0,1.0,18.5,230
460,HSR Layout,3,1430.0,2.0,65.0,89
461,others,2,1260.0,2.0,45.0,230
462,others,3,1630.0,3.0,85.0,230
463,Sarjapur  Road,3,1249.0,3.0,44.71,194
464,Kalena Agrahara,3,1450.0,2.0,85.0,121
465,Konanakunte,3,2791.0,3.0,223.0,143
466,others,1,834.0,1.0,60.0,230
467,others,3,1125.0,4.0,70.0,230
468,Arekere,3,2060.0,3.0,140.0,20
469,Raja Rajeshwari Nagar,2,1133.0,2.0,49.07,184
470,Bisuvanahalli,3,1075.0,2.0,37.0,46
471,Vidyaranyapura,2,1200.0,2.0,55.0,219
472,Thanisandra,2,1075.0,2.0,45.8,209
473,Kaggadasapura,2,1140.0,2.0,40.0,118
474,Raja Rajeshwari Nagar,2,1090.0,2.0,42.0,184
475,R.T. Nagar,4,1500.0,4.0,70.0,182
476,Whitefield,3,1790.0,3.0,100.0,224
477,Hebbal,3,1920.0,3.0,134.0,92
478,HRBR Layout,2,1374.0,2.0,95.0,88
479,Bannerghatta Road,3,1445.0,3.0,95.0,34
480,Kanakapura,1,711.0,1.0,36.0,126
481,Tumkur Road,3,1500.0,3.0,95.0,214
482,Whitefield,3,1720.0,3.0,100.0,224
483,others,3,1400.0,3.0,60.0,230
484,Kundalahalli,2,1030.0,2.0,49.0,150
485,Mysore Road,2,1200.0,2.0,85.0,166
486,others,3,1375.0,3.0,70.0,230
487,Hegde Nagar,2,1050.0,1.0,56.0,94
488,Jalahalli,3,2250.0,3.0,160.0,111
489,Bellandur,2,1000.0,2.0,50.0,40
490,others,1,469.0,1.0,25.0,230
491,Marathahalli,4,3800.0,4.0,250.0,161
492,Kambipura,2,883.0,2.0,29.0,123
493,GM Palaya,3,1820.0,2.0,86.0,78
494,Singasandra,3,1440.0,2.0,65.0,201
495,others,6,3600.0,4.0,160.0,230
496,Mahadevpura,2,1225.0,2.0,48.0,156
497,Chikkalasandra,2,875.0,2.0,52.8,59
498,Jalahalli East,1,750.0,1.0,40.0,112
499,6th Phase JP Nagar,2,1180.0,2.0,80.0,5
500,Haralur Road,2,1194.0,2.0,47.0,90
501,Hennur Road,3,1500.0,2.0,62.0,96
502,others,2,1160.0,2.0,52.2,230
503,Sarjapur,2,1128.0,2.0,60.0,193
504,Sarjapur  Road,2,1210.0,2.0,58.0,194
505,Kanakpura Road,3,1100.0,2.0,58.0,127
506,Bommasandra,3,1200.0,3.0,46.0,48
507,Haralur Road,4,3385.0,5.0,260.0,90
508,others,3,1641.0,3.0,66.0,230
509,Horamavu Agara,2,1200.0,2.0,45.0,98
510,Raja Rajeshwari Nagar,2,1260.0,2.0,67.39,184
511,Mahadevpura,3,1720.0,3.0,78.0,156
512,Yelahanka,2,1132.5,2.0,48.13,226
513,Yelahanka,2,1210.0,2.0,45.98,226
514,Bisuvanahalli,3,1075.0,2.0,45.0,46
515,Thanisandra,3,1702.0,3.0,130.0,209
516,Raja Rajeshwari Nagar,2,1141.0,2.0,38.55,184
517,others,3,2072.0,3.0,108.0,230
518,JP Nagar,5,5520.0,2.0,375.0,109
519,others,3,1200.0,2.0,70.0,230
520,others,3,1350.0,3.0,77.0,230
521,others,3,1180.0,2.0,78.34,230
522,Bannerghatta Road,3,1640.0,2.0,120.0,34
523,Kodichikkanahalli,3,1190.0,2.0,57.0,138
524,Marathahalli,2,1019.0,2.0,49.85,161
525,Akshaya Nagar,3,1250.0,3.0,40.0,11
526,Whitefield,2,1140.0,2.0,56.0,224
527,Lingadheeranahalli,3,1683.0,3.0,109.0,154
528,Kaggadasapura,3,1515.0,3.0,83.3,118
529,Hoodi,4,2118.0,4.0,111.0,97
530,Bannerghatta Road,4,1380.0,3.0,58.0,34
531,Varthur Road,2,1083.0,2.0,61.75,218
532,others,3,2300.0,3.0,120.0,230
533,others,2,1240.0,2.0,60.0,230
534,others,3,1750.0,3.0,120.0,230
535,others,2,1230.0,2.0,43.48,230
536,Abbigere,2,985.0,2.0,40.39,10
537,Tindlu,3,1500.0,2.0,87.0,213
538,others,2,950.0,2.0,44.0,230
539,Kothanur,3,1580.0,3.0,76.0,146
540,Hennur Road,3,2264.0,3.0,159.0,96
541,Kammasandra,2,810.0,2.0,24.5,125
542,others,2,1045.0,2.0,45.0,230
543,Hebbal,2,1337.0,2.0,82.0,92
544,Begur Road,3,1500.0,2.0,54.0,39
545,Whitefield,3,1640.0,4.0,91.0,224
546,others,3,1570.0,3.0,62.0,230
